timestamp,joint_names,desired_positions,actual_positions,error_positions,desired_velocities,actual_velocities
1755197443.9078574,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7849377972580528, -0.7858027551089397, 0.7849766527858976, -0.7858383889022141, 0.7849196824200004, 0.7849494169732509]","[0.7853255867958069, -0.7854077976993104, 0.785351578389303, -0.7854545277408143, 0.78529953956604, 0.7853285670280457]","[-0.00038778953775409075, -0.00039495740962935955, -0.00037492560340546266, -0.0003838611613998788, -0.0003798571460396083, -0.0003791500547947191]","[-0.017914825965964873, -0.017915462256029094, -0.017915269240548527, -0.01791505573588244, -0.017914619306893666, -0.017914958526882258]","[-0.008200525306165218, -0.004711722023785114, -0.001995513215661049, -0.007035406306385994, -0.006191120482981205, -0.007572747766971588]"
1755197443.9699109,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7835836766693624, -0.7871569237926259, 0.7836224986915933, -0.787192526858429, 0.7835655774519641, 0.783595286364733]","[0.7845801115036011, -0.7858973306468506, 0.7848404089557093, -0.7861107152751465, 0.7846996784210205, 0.7846934199333191]","[-0.0009964348342387241, -0.001259593145775284, -0.0012179102641159956, -0.001081811583282466, -0.0011341009690564174, -0.0010981335685861238]","[-0.03620711835243511, -0.03620840433923205, -0.036208014241423565, -0.03620758273353571, -0.0362067006799741, -0.03620738626733609]","[-0.023351751267910004, -0.019898010417819023, -0.021500861272215843, -0.024733541533350945, -0.021209869533777237, -0.021400775760412216]"
1755197444.0001893,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7813247513713042, -0.7894159293220927, 0.781363517499932, -0.7894514811287519, 0.7813066782120661, 0.7813363443517365]","[0.7830337285995483, -0.787433997993805, 0.7832277456866663, -0.7876618069461365, 0.7828559875488281, 0.7828491926193237]","[-0.0017089772282441462, -0.0019819313282877227, -0.0018642281867342625, -0.0017896741826153306, -0.0015493093367620059, -0.0015128482675872412]","[-0.05412231234509398, -0.05412423463502653, -0.05412365151777234, -0.05412300650083234, -0.054121688009316334, -0.05412271282363556]","[-0.03789997100830078, -0.039001379162073135, -0.039753448218107224, -0.04201659560203552, -0.04683062061667442, -0.05148891359567642]"
1755197444.0553043,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7781791328108958, -0.7925616596070492, 0.7782178211060711, -0.7925971400338735, 0.7781610959383966, 0.778190702515295]","[0.7804582118988037, -0.7901441615870972, 0.780487362538473, -0.7906311315349122, 0.7803769111633301, 0.7803036570549011]","[-0.0022790790879079204, -0.002417498019951947, -0.002269541432401878, -0.0019660084989613358, -0.002215815224933526, -0.0021129545396061378]","[-0.07166418717722273, -0.07166673251092275, -0.07166596039638735, -0.07166510631952484, -0.07166336048460573, -0.07166471745702639]","[-0.061796095222234726, -0.06478875130414963, -0.06445234268903732, -0.0602850615978241, -0.06872556358575821, -0.06484996527433395]"
1755197444.218681,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7741667574719543, -0.796574177455584, 0.7742053464871248, -0.7966095668342779, 0.7741487668847922, 0.7741782974867457]","[0.7769308686256409, -0.7938860815814515, 0.7768877188311976, -0.7939886611751099, 0.777092456817627, 0.7770630121231079]","[-0.002764111153686577, -0.0026880958741325456, -0.0026823723440727587, -0.002620905659167949, -0.002943689932834781, -0.0028847146363621956]","[-0.08882637036858772, -0.08882952526035244, -0.08882856823935785, -0.08882750962764814, -0.08882534569911933, -0.08882702764012174]","[-0.07851536571979523, -0.07816730439662933, -0.07708293944597244, -0.07478633522987366, -0.08504845201969147, -0.08389241993427277]"
1755197444.219161,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7693012175651813, -0.8014398901742338, 0.7693396861901131, -0.8014751691449338, 0.7692832831051599, 0.7693127215773661]","[0.7725540995597839, -0.7982005637935181, 0.772597614918844, -0.7983687084964295, 0.7725231647491455, 0.7725929021835327]","[-0.0032528819946026077, -0.003239326380715668, -0.0032579287287309855, -0.0031064606485042834, -0.003239881643985587, -0.0032801806061666383]","[-0.10562687598200209, -0.10563062758594341, -0.105629489555227, -0.10562823071905805, -0.1056256575078664, -0.10562765756902992]","[-0.09347958862781525, -0.09206820279359818, -0.09452150017023087, -0.08357468992471695, -0.10874519497156143, -0.1077534407377243]"
1755197444.2196178,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7636023747919694, -0.8071389353561681, 0.7636407024078752, -0.807174085009709, 0.7635845060717747, 0.7636138366355152]","[0.7672005295753479, -0.8035096687129517, 0.7672761122332972, -0.8035512727550049, 0.7671535611152649, 0.7672176361083984]","[-0.0035981547833785488, -0.003629266643216389, -0.003635409825421987, -0.0036228122547040664, -0.0035690550434901436, -0.003603799472883251]","[-0.1220560031160937, -0.12206033824177166, -0.12205902320258889, -0.12205756856796178, -0.122054595121381, -0.12205690627059693]","[-0.11180739849805832, -0.11188394576311111, -0.1135532557964325, -0.12477221339941025, -0.10098253190517426, -0.09711997956037521]"
1755197444.2565482,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7570929023981906, -0.8136486389502173, 0.7571310689472979, -0.8136836408919312, 0.7570751087689581, 0.7571043160748364]","[0.7612066268920898, -0.8095044058612366, 0.7612698713885706, -0.8095342081836243, 0.7611158490180969, 0.7610679268836975]","[-0.00411372449389924, -0.004144233088980709, -0.0041388024412727376, -0.004149432708306922, -0.004040740249138808, -0.0039636108088610955]","[-0.13810257793585234, -0.13810748299596015, -0.13810599506995413, -0.13810434919603698, -0.13810098483355027, -0.13810359982713163]","[-0.12914739549160004, -0.12790662050247192, -0.12939199805259705, -0.12549278140068054, -0.12259780615568161, -0.13706393539905548]"
1755197444.3111892,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.7498060110305362, -0.8209357891301305, 0.7498439972768182, -0.8209706257189601, 0.7497883014602952, 0.7498173707877632]","[0.7543883323669434, -0.8163061898997803, 0.754432503377096, -0.816292480831482, 0.7543297410011292, 0.7542192935943604]","[-0.004582321336407125, -0.004629599230350223, -0.004588506100277834, -0.004678144887478086, -0.004541439540833969, -0.004401922806597125]","[-0.1537396067000844, -0.1537450671485647, -0.15374341074821082, -0.15374157851587683, -0.15373783321457085, -0.15374074429770002]","[-0.14626720547676086, -0.1455339938402176, -0.14843760430812836, -0.14268194139003754, -0.13878872990608215, -0.15639738738536835]"
1755197444.3837805,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.741738962874176, -0.8290031238079786, 0.7417767495138629, -0.82903777734074, 0.7417213463625381, 0.7417502629392069]","[0.747016191482544, -0.8236814302257081, 0.7471283117877405, -0.8235740226558228, 0.7470186948776245, 0.7469618320465088]","[-0.00527722860836799, -0.005321693582270526, -0.005351562273877675, -0.005463754684917221, -0.005297348515086453, -0.005211569107301917]","[-0.16901654654214993, -0.16902254958953972, -0.16902072859445907, -0.16901871429516302, -0.16901459682728284, -0.16901779718162058]","[-0.15982866287231445, -0.15669061243534088, -0.16106611490249634, -0.16375136375427246, -0.1521618664264679, -0.1644306778907776]"
